DateTime;Players;Average Players
2014-09-22;211890;
2014-09-23;207820;
2014-09-24;168851;
2014-09-25;216907;
2014-09-26;237650;
2014-09-27;242527;
2014-09-28;216806;
2014-09-29;212896;
2014-09-30;214183;
2014-10-01;260613;
2014-10-02;224909;
2014-10-03;249492;
2014-10-04;247227;
2014-10-05;224048;
2014-10-06;218072;
2014-10-07;218373;
2014-10-08;214641;
2014-10-09;229962;
2014-10-10;241017;
2014-10-11;249290;
2014-10-12;242077;
2014-10-13;223341;
2014-10-14;220268;
2014-10-15;209703;
2014-10-16;224605;
2014-10-17;242915;
2014-10-18;239715;
2014-10-19;221691;
2014-10-20;224156;
2014-10-21;220154;
2014-10-22;225079;
2014-10-23;234616;
2014-10-24;252951;
2014-10-25;261555;
2014-10-26;234996;
2014-10-27;229765;
2014-10-28;228824;
2014-10-29;232119;
2014-10-30;225555;
2014-10-31;252664;
2014-11-01;348018;
2014-11-02;252187;
2014-11-03;228545;
2014-11-04;226173;
2014-11-05;234215;
2014-11-06;236933;
2014-11-07;256821;
2014-11-08;253667;
2014-11-09;239776;
2014-11-10;239319;
2014-11-11;257322;
2014-11-12;241651;
2014-11-13;254306;
2014-11-14;270707;
2014-11-15;264525;
2014-11-16;237396;
2014-11-17;230615;
2014-11-18;233909;
2014-11-19;227018;
2014-11-20;239704;
2014-11-21;238536;
2014-11-22;263723;
2014-11-23;244634;
2014-11-24;225206;
2014-11-25;252065;
2014-11-26;309116;
2014-11-27;329206;
2014-11-28;349462;
2014-11-29;330573;
2014-11-30;298410;
2014-12-01;367634;
2014-12-02;286289;
2014-12-03;282730;
2014-12-04;296645;
2014-12-05;296110;
2014-12-06;309816;
2014-12-07;297178;
2014-12-08;288325;
2014-12-09;285266;
2014-12-10;283191;
2014-12-11;297185;
2014-12-12;317354;
2014-12-13;317040;
2014-12-14;295428;
2014-12-15;293914;
2014-12-16;290357;
2014-12-17;290018;
2014-12-18;295737;
2014-12-19;314777;
2014-12-20;318366;
2014-12-21;317470;
2014-12-22;311679;
2014-12-23;299758;
2014-12-24;285838;
2014-12-25;319559;
2014-12-26;349626;
2014-12-27;359662;
2014-12-28;364666;
2014-12-29;368024;
2014-12-30;369561;
2014-12-31;359692;
2015-01-01;443188;
2015-01-02;383943;
2015-01-03;398639;
2015-01-04;389040;
2015-01-05;376364;
2015-01-06;376364;
2015-01-07;375622;
2015-01-08;440458;
2015-01-09;443991;
2015-01-10;443991;
2015-01-11;384553;
2015-01-12;386492;
2015-01-13;382747;
2015-01-14;381328;
2015-01-15;405872;
2015-01-16;442871;
2015-01-17;442380;
2015-01-18;377789;
2015-01-19;391559;
2015-01-20;380689;
2015-01-21;379248;
2015-01-22;399062;
2015-01-23;430861;
2015-01-24;423350;
2015-01-25;371266;
2015-01-26;360648;
2015-01-27;385217;
2015-01-28;380640;
2015-01-29;397712;
2015-01-30;437368;
2015-01-31;434024;
2015-02-01;455508;
2015-02-02;384373;
2015-02-03;346986;
2015-02-04;374310;
2015-02-05;401791;
2015-02-06;401791;
2015-02-07;401791;
2015-02-08;401791;
2015-02-09;401791;
2015-02-10;159873;
2015-02-11;103924;
2015-02-12;103924;
2015-02-13;419184;
2015-02-14;431744;
2015-02-15;384755;
2015-02-16;;
2015-02-17;398868;
2015-02-18;395553;
2015-02-19;423817;
2015-02-20;442763;
2015-02-21;454373;
2015-02-22;406052;
2015-02-23;400112;
2015-02-24;337230;
2015-02-25;;
2015-02-26;;
2015-02-27;;
2015-02-28;;
2015-03-01;595439;
2015-03-02;;
2015-03-03;;
2015-03-04;;
2015-03-05;;
2015-03-06;;
2015-03-07;;
2015-03-08;;
2015-03-09;;
2015-03-10;;
2015-03-11;;
2015-03-12;;
2015-03-13;;
2015-03-14;;
2015-03-15;;
2015-03-16;;
2015-03-17;;
2015-03-18;;
2015-03-19;;
2015-03-20;;
2015-03-21;;
2015-03-22;;
2015-03-23;;
2015-03-24;;
2015-03-25;;
2015-03-26;;
2015-03-27;;
2015-03-28;;
2015-03-29;;
2015-03-30;;
2015-03-31;;
2015-04-01;568556;
2015-04-02;;
2015-04-03;;
2015-04-04;;
2015-04-05;;
2015-04-06;;
2015-04-07;;
2015-04-08;;
2015-04-09;;
2015-04-10;;
2015-04-11;;
2015-04-12;;
2015-04-13;;
2015-04-14;;
2015-04-15;;
2015-04-16;;
2015-04-17;;
2015-04-18;;
2015-04-19;551054;
2015-04-20;509392;
2015-04-21;505119;
2015-04-22;502104;
2015-04-23;501062;
2015-04-24;521335;
2015-04-25;568782;
2015-04-26;569848;
2015-04-27;524411;
2015-04-28;518291;
2015-04-29;512618;
2015-04-30;524944;
2015-05-01;511203;
2015-05-02;552794;
2015-05-03;579356;
2015-05-04;518035;
2015-05-05;519839;
2015-05-06;514383;
2015-05-07;514128;
2015-05-08;552668;
2015-05-09;538983;
2015-05-10;548320;
2015-05-11;513952;
2015-05-12;497478;
2015-05-13;502256;
2015-05-14;500080;
2015-05-15;530986;
2015-05-16;562379;
2015-05-17;571119;
2015-05-18;537038;
2015-05-19;515278;
2015-05-20;513685;
2015-05-21;516034;
2015-05-22;545190;
2015-05-23;541205;
2015-05-24;545013;
2015-05-25;552376;
2015-05-26;508968;
2015-05-27;681170;
2015-05-28;630579;
2015-05-29;614395;
2015-05-30;600079;
2015-05-31;631284;
2015-06-01;578549;
2015-06-02;569978;
2015-06-03;587370;
2015-06-04;582715;
2015-06-05;558996;
2015-06-06;511890;
2015-06-07;579984;
2015-06-08;573335;
2015-06-09;570371;
2015-06-10;566053;
2015-06-11;553731;
2015-06-12;544088;
2015-06-13;546174;
2015-06-14;591163;
2015-06-15;589481;
2015-06-16;586602;
2015-06-17;604309;
2015-06-18;582001;
2015-06-19;558605;
2015-06-20;551773;
2015-06-21;583128;
2015-06-22;611284;
2015-06-23;594003;
